,duration,reward
0,12,-595.3893001347589
1,24,-625.2095774993699
2,52,-713.0283696036477
3,7,-546.7216135625126
4,16,-595.8132354848974
5,36,-706.7979909231184
6,2,-511.61141332762514
7,10,-566.4570094722055
8,12,-604.9577268302438
9,16,-588.5755481584272
10,16,-560.027775494252
11,30,-749.6271266109242
12,39,-804.2752435279499
13,8,-532.5643891117013
14,4,-526.8248723855324
15,34,-626.2335033134997
16,26,-750.9825467972374
17,15,-584.4872723695333
18,17,-585.8181846235034
19,6,-521.5560459668562
